player_name,position,projected_rank,avg_expert_rank,projected_fantasy_total,projected_fantasy_std,projected_fantasy_slope,overall_adp
James O'Shaughnessy,TE,58,62.76,24.219457053186858,26.346208877601768,-0.7556525911104366,-1.0
Geoff Swaim,TE,59,52.57,23.46862388143842,27.05661143273899,-0.7460530967351113,-1.0
Jake Ferguson,TE,60,57.13,22.72728411739601,30.776019705103014,-0.7366538293216278,-1.0
Chigoziem Okonkwo,TE,61,63.8,21.995273373228173,27.85389839063027,-0.727383110609165,-1.0
Ryan Griffin,TE,62,57.92,21.27249893936434,30.641750929083667,-0.7181692623368923,-1.0
Jordan Akins,TE,63,58.0,20.55893978449464,24.574753078899672,-0.7089406062439911,-1.0
Chris Herndon IV,TE,64,60.23,19.854646555570127,24.588329661763435,-0.6996254640696327,-1.0
Jacob Harris,TE,65,64.14,19.15974157780275,19.5135633741138,-0.690152157552995,-1.0
Durham Smythe,TE,66,59.5,18.474418854665174,20.68006259393063,-0.6804490084332562,-1.0
Noah Gray,TE,67,63.75,17.798944067890858,24.68349628575516,-0.6704443384495846,-1.0
Tre' McKitty,TE,68,67.83,17.13365457747426,25.04267224825125,-0.6600664693411646,-1.0
Zach Gentry,TE,69,64.0,16.478959421670396,24.66268198446119,-0.6492437228471664,-1.0
Justin Tucker,K,0,1.86,126.21610288423055,17.330801097083384,0.18936131791412497,122.0
Tyler Bass,K,1,3.41,126.33231313756268,27.883507670305757,0.043188784548681136,154.0
Matt Gay,K,2,4.38,126.30273964492504,29.845695762631426,-0.10220617402537163,150.0
Evan McPherson,K,3,4.76,126.12815998110906,33.275015652388,-0.2468235578080334,171.0
Daniel Carlson,K,4,5.32,125.80935172090611,36.708697873331815,-0.3906633667993041,133.0
Harrison Butker,K,5,7.44,125.34709243910758,38.242479347796824,-0.5337256009991838,143.0
Ryan Succop,K,6,8.2,124.74215971050486,38.10335803224348,-0.6760102604076723,202.0
Matt Prater,K,7,8.95,123.99533110988936,35.74454652422132,-0.8175173450247697,187.0
Nick Folk,K,8,10.97,123.10738421205247,33.92053786261193,-0.9582468548504763,199.0
Rodrigo Blankenship,K,9,11.68,122.07909659178554,35.738634557016866,-1.0981987898847916,193.0
Younghoe Koo,K,10,11.9,120.91124582388001,33.269689241443515,-1.2373731501277159,192.0
Brandon McManus,K,11,12.94,119.60460948312725,32.18869711905442,-1.3757699355792492,208.0
Jason Sanders,K,12,12.98,118.15996514431865,27.018121490749294,-1.5133891462393916,245.0
Dustin Hopkins,K,13,14.4,116.57809038224559,32.64856641399265,-1.6502307821081426,213.0
Robbie Gould,K,14,14.44,114.85976277169948,43.664745504812,-1.7862948431855028,210.0
Jake Elliott,K,15,14.87,113.00575988747173,46.70623322664998,-1.9215813294714714,252.0
Wil Lutz,K,16,17.09,111.01685930435367,50.538390248294306,-2.0560902409660495,218.0
Chris Boswell,K,17,17.91,108.89383859713675,49.02159490129495,-2.1898215776692367,230.0
Mason Crosby,K,18,18.75,106.63747534061233,53.487160349211116,-2.3227753395810327,366.0
Greg Joseph,K,19,18.92,104.24854710957182,51.06520765974945,-2.454951526701437,221.0
Greg Zuerlein,K,20,18.53,101.72783147880658,47.05675249691117,-2.586350139030451,247.0
Graham Gano,K,21,21.89,99.07610602310804,39.77111682280664,-2.716971176568074,387.0
Jason Myers,K,22,22.82,96.29414831726757,35.46714536017806,-2.8468146393143052,-1.0
Randy Bullock,K,23,23.08,93.38273593607656,43.03946509374339,-2.9758805272691458,375.0
Cairo Santos,K,24,24.23,90.3426464543264,48.42140252225479,-3.1041688404325956,355.0
Ka'imi Fairbairn,K,25,25.69,87.1746574468085,53.0792218983411,-3.231679578804654,-1.0
Cade York,K,26,24.81,83.87954648831422,52.1763664847942,-3.3584127423853216,264.0
Joey Slye,K,27,27.21,80.458091153635,50.157644123303875,-3.484368331174598,274.0
Chase McLaughlin,K,28,26.08,76.91106901756216,50.105278054201925,-3.6095463451724834,-1.0
Josh Lambo,K,29,26.91,73.23925765488715,50.859239300467536,-3.7339467843789778,-1.0
